Name,Category,Website,Address,Suburb,Postcode,Telephone Phone,Latitude,Longitude
AMF Bowling Mt Gravatt,Sport and Recreation,http://www.amfbowling.com.au,533 Kessels Rd,MACGREGOR,4109,1300 368 067,-27.561672,153.071225
AMF Bowling Redcliffe,Sport and Recreation,http://www.amfbowling.com.au,403 Elizabeth Ave,KIPPA-RING,4021,1300 368 067,-27.230321,153.085369
AMF Bowling Richlands,Sport and Recreation,http://www.amfbowling.com.au,407 Archerfield Rd,RICHLANDS,4077,1300 368 067,-27.591794,152.958571
AMF Bowling Robina,Sport and Recreation,http://www.amfbowling.com.au,Robina Town Centre,ROBINA,4226,1300 368 067,-28.071929,153.365207
Anytime Fitness,Health and Fitness,http://www.anytimefitness.com.au,138 Brisbane Rd,LABRADOR,4215,(07) 5563 7722,-27.935521,153.392235
Anytime Fitness Dalby,Health and Fitness,http://www.anytimefitness.com.au,66 Drayton Street,DALBY,4405,1300 133 189,-27.186442,151.265542
Anzac Park Olympic Pool,Health and Fitness,http://www.bundaberg.qld.gov.au,19 Quay St,BUNDABERG CENTRAL,4670,(07) 4151 5640,-24.864213,152.348822
Aramac Swimming Pool,Health and Fitness,http://www.barcaldinerc.qld.gov.au,Gordon Street,ARAMAC,4726,(07) 4651 5600,-22.970541,145.236532
Aramac Town Hall,Sport and Recreation,http://www.barcaldinerc.qld.gov.au,Lodge Street,ARAMAC,4726,(07) 4651 5600,-22.977195,145.242826
Archer Park Rail Museum,Tourist Attraction,http://www.qldrailheritage.com/archerpark/,Denison St,ROCKHAMPTON,4700,(07) 4922 2774,-23.372204,150.503548
Archerfield Speedway - Speedway Events,Sport and Recreation,http://www.brisbanespeedway.com.au,63 Colebard St West,ARCHERFIELD,4108,(07) 3277 7745,-27.578105,153.000421
Artspace,Theatre and Arts,http://www.artspacemackay.com.au,"Civic Centre Precinct, Gordon St",MACKAY,4740,(07) 4961 9722,-21.163577,149.113652
ATC Rodeo,Sport and Recreation,(blank),Sportsgrounds,APPLE TREE CREEK,4671,0404 468 226,-25.916668,147.866667
Ausdance Qld - Australian Dance Council,Theatre and Arts,http://www.ausdanceqld.org.au,"Judith Wright Centre, 420 Brunswick St",FORTITUDE VALLEY,4006,(07) 3852 3655,-27.449212,153.033462
Australia Zoo,Tourist Attraction,http://www.australiazoo.com.au,1638 Steve Irwin Way,BEERWAH,4519,(07) 5436 2000,-26.835574,152.96222
Australian Butterfly Sanctuary,Tourist Attraction,http://www.australianbutterflies.com,8 Rob Veivers Drive,KURANDA,4881,(07) 4093 7575,-16.819821,145.632502
Australian Chamber Orchestra QPAC,Theatre and Arts,http://www.aco.com.au,Cnr Grey/Melbourne Streets,SOUTH BRISBANE,4101,(07) 3840 7444,-27.473978,153.018398
Australian Lure Fly and Outdoors Expo,Festivals and Shows,http://www.lureshow.com.au,Check website for details,IPSWICH,4305,0423 464 311,-27.619318,152.755941
Australian Rugby Union-Wallaby Tests & Sevens Mtch,Sport and Recreation,http://www.rugby.com.au,Check website for details,QUEENSLAND,4000,(02) 8005 5584,-27.46598,153.02394
Australian Whale Watching,Tourist Attraction,http://www.australianwhalewatching.com.au,Marina Mirage,MAIN BEACH,4217,(07) 3630 2463,-27.968732,153.424192
B Transformed,Health and Fitness,http://www.btransformed.com.au,1/47 Bourbong Street,BUNDABERG,4670,(07) 4154 3223,-24.866753,152.345058
Babinda Swimming Pool,Health and Fitness,http://www.ymca.org.au,26 Church St,BABINDA,4861,(07) 4067 1211,-17.342415,145.921919
Bakers Military Memorabilia Museum,Tourist Attraction,(blank),Ashby Lane,CHILDERS,4660,(07) 4126 1545,-25.236912,152.279423
Balmoral Cinemas - Conditions apply see website,Cinema,http://www.cineplex.com.au,160 Oxford St,BULIMBA,4171,(07) 3395 6086,-27.451309,153.058925
Banana Shire Council,Council,http://www.banana.qld.gov.au,"Biloela, Moura, Taroom",BILOELA,4715,(07) 4992 4052,-24.24628,150.568654
Barcaldine Regional Council,Council,http://www.barcaldinerc.qld.gov.au,71 Ash Street,BARCALDINE,4725,(07) 4651 5600,-23.554189,145.288966
Barcaldine Swimming Pool,Health and Fitness,http://www.barcaldinerc.qld.gov.au,Wilga Street,BARCALDINE,4725,(07) 4651 5600,-23.551822,145.297803
Barcaldine Town Hall,Sport and Recreation,http://www.barcaldinerc.qld.gov.au,71 Ash Street,BARCALDINE,4725,(07) 4651 5600,-23.554189,145.288966
Bauhinia House,Sport and Recreation,http://www.rockhamptonregion.qld.gov.au,Cnr Berserker/High Sts,NORTH ROCKHAMPTON,4701,(07) 4928 2320,-23.359113,150.530558
Bay Connect - Computer classes,Sport and Recreation,(blank),189 Bideford St,TORQUAY,4655,(07) 4197 4660,-25.300505,152.864258
Bay Connect - Photography classes,Sport and Recreation,(blank),189 Bideford St,TORQUAY,4655,(07) 4197 4660,-25.300505,152.864258
Beach 2 Bush Adventure Hire - Bike Hire,Sport and Recreation,http://www.adventurehire.com.au, Coolum Beach,SUNSHINE COAST,4573,0439 706 206,-26.509736,153.075651
Beach 2 Bush Adventure Hire - Bike Tours,Sport and Recreation,http://www.adventurehire.com.au,Coolum Beach,SUNSHINE COAST,4573,0439 706 206,-26.509736,153.075651
Beach 2 Bush Adventure Hire - Surfboard Hire,Sport and Recreation,http://www.adventurehire.com.au,Coolum Beach,SUNSHINE COAST,4573,0439 706 206,-26.509736,153.075651
Beaudesert Show,Festivals and Shows,http://www.beaudesertshow.org.au,Albert St,BEAUDESERT,4285,(07) 5541 4037,-27.992205,153.000094
Beaudesert Swimming Pool,Health and Fitness,http://www.scenicrim.qld.gov.au,Brisbane St,BEAUDESERT,4285,(07) 5463 3081,-27.992974,152.995474
Beenleigh Aquatic Centre,Health and Fitness,http://www.logan.qld.gov.au,Alamein St,BEENLEIGH,4207,(07) 3287 2163,-27.715134,153.203101
Beerwah Swimming Pool,Health and Fitness,http://www.sunshinecoast.qld.gov.au,Roberts Rd,BEERWAH,4519,(07) 5494 0022,-26.861398,152.945251
Bell Bunya Community Centre,Entertainment,http://www.wdrc.qld.gov.au,71 Maxwell Street,BELL,4408,(07) 4679 4000,-26.92988,151.447772
Ben & Jerry's Openair Cinemas (check website),Cinema,http://www.openaircinemas.com.au,Rainforest Green,SOUTH BANK,4101,(07) 0000 0000,-27.482397,153.013313
Bethania Aquatic Centre,Health and Fitness,http://www.logan.qld.gov.au,88-118 Station Rd,BETHANIA,4205,(07) 3805 6032,-27.68565,153.156604
Big Cat Green Island Reef Cruises,Tourist Attraction,http://www.greenisland.com.au,The Reef Fleet Terminal,CAIRNS,4870,(07) 4051 0444,-16.922834,145.778942
Biloela Civic Centre,Entertainment,http://www.banana.qld.gov.au/civic-centre,Cnr Rainbow/Prairie Sts,BILOELA,4715,(07) 4992 1511,-24.396222,150.513856
Biloela Swimming Pool,Health and Fitness,http://www.banana.qld.gov.au,Cnr Rainbow/Prairie Sts,BILOELA,4715,(07) 4992 1445,-24.396222,150.513856
Birch Carroll & Coyle,Cinema,(blank),Logan Hyperdome,LOGANHOLME,4129,(07) 3906 4649,-27.684225,153.179625
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,108 Grafton St,CAIRNS,4870,(07) 4031 1077,-16.921803,145.774355
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Australia Fair Shp Cnt,SOUTHPORT,4215,(07) 5531 2200,-27.963654,153.41424
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Cairns Central Shp Cnt,CAIRNS,4870,(07) 4052 1166,-16.924746,145.77154
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Capalaba Central Shp Cnt,CAPALABA,4157,(07) 3823 3860,-27.523227,153.195238
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Centro Toombul Shp Cnt,TOOMBUL,4012,(07) 3260 6444,-27.398287,153.054854
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,cnr Brisbane/Ellenborough Sts,IPSWICH,4305,(07) 3281 8887,-27.613962,152.757882
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Cnr Sturt/Blackwood Sts,TOWNSVILLE,4810,(07) 4771 4101,-19.262257,146.813218
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Garden City Shp Cnt,UPPER MT GRAVATT,4122,(07) 3849 0011,-27.56305,153.082779
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Gordon St,MACKAY,4740,(07) 4957 3515,-21.142824,149.178261
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,"Grand Central Cinema, cnr Margaret/Dent Sts",TOOWOOMBA,4350,(07) 4638 0879,-27.560664,151.950516
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Grand Plaza Shp Cnt,BROWNS PLAINS,4118,(07) 3809 3422,-27.662895,153.040355
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Grandview Drive,NORTH MACKAY,4740,(07) 4942 4055,-21.122709,149.159535
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Morayfield Shp Cnt,MORAYFIELD,4506,(07) 5495 1444,-27.102959,152.950337
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Myer Centre,BRISBANE,4000,(07) 3027 9999,-27.470088,153.024726
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Pacific Fair Shp Cnt,BROADBEACH,4218,(07) 5572 2666,-28.036551,153.427824
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Showcase on the Beach,COOLANGATTA,4225,(07) 5536 9300,-28.167912,153.538393
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Stockland Shp Cnt,NTH ROCKHAMPTON,4701,(07) 4926 6977,-23.348178,150.522748
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,"Stockland Shp Cnt, Earlville",CAIRNS,4870,(07) 4057 0000,-16.94421,145.74009
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Strand Cinema - 163 Margaret St,TOOWOOMBA,4350,(07) 4639 3861,-27.561998,151.957903
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Sunshine Plaza Shp Cnt,MAROOCHYDORE,4558,(07) 5409 7222,-26.656404,153.086806
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Westfield Shp Cnt,CARINDALE,4152,(07) 3398 5200,-27.503697,153.099946
Birch Carroll & Coyle,Cinema,http://www.eventcinemas.com.au,Westfield Shp Cnt,STRATHPINE,4500,(07) 3881 2037,-27.306786,152.993389
Birdworld Kuranda,Tourist Attraction,http://www.birdworldkuranda.com.au,Rob Veivers Dr,KURANDA,4881,(07) 4093 9188,-16.821178,145.632628
Blackall Show,Festivals and Shows,(blank),"Blackall Showgrounds, Salvia St",BLACKALL,4472,(07) 4657 6403,-24.42537,145.478603
Blackwater International Coal Centre,Tourist Attraction,http://www.bicc.com.au,Cnr Capricorn Hwy/Littlefield Street,BLACKWATER,4717,(07) 4982 7755,-23.585822,148.872524
Bodiez 24/7 Fitness,Sport and Recreation,http://www.bodiezfitness.com.au,4/260 Brisbane Street,WEST IPSWICH,4305,0412 140 431,-27.61949,152.749922
Bond University Fitness Centre,Health and Fitness,http://www.bond.edu.au,University Dr,ROBINA,4226,(07) 5595 4100,-28.071171,153.408814
Boonah & District Cultural Centre,Theatre and Arts,http://www.scenicrim.qld.gov.au,3 High St,BOONAH,4310,(07) 5463 3081,-27.998526,152.681764
Boonah Show Society,Festivals and Shows,http://www.boonahshowsociety.org.au,Boonah Showground,BOONAH,4310,(07) 5463 1124,-27.997943,152.685151
Boonah Swimming Pool,Health and Fitness,http://www.scenicrim.qld.gov.au,Macquarie St,BOONAH,4310,(07) 5463 3081,-28.003707,152.6871
Bowen Transit,Transport,http://www.transnorthbus.com/bowen.asp,10 Powell St,BOWEN,4805,(07) 4786 4414,-20.010519,148.248433
Breathe Health Clubs ,Health and Fitness,http://www.breathehealthclub.com.au,184 Dayman St,HERVEY BAY,4655,(07) 4128 9355,-25.289305,152.888024
Brennan and Geraghty's Store and Residences,Tourist Attraction,http://nationaltrust.org.au,64 Lennox St,MARYBOROUGH,4650,(07) 4121 2250,-25.542131,152.696695
Bribie Island Aquatic Centre,Health and Fitness,http://www.moretonbay.qld.gov.au,Goodwin Dr,BRIBIE ISLAND,4507,(07) 3410 0200,-27.074205,153.163796
Bribie Island Coaches,Transport,http://www.bribiecoaches.com.au/,20-26 Armitage St,BRIBIE ISLAND,4507,(07) 3408 2562,-27.078189,153.178434
Brisbane Airtrain,Transport,http://www.airtrain.com.au,Domestic/International Airport Stations ,BRISBANE AIRPORT,4007,(07) 3216 3308,-27.413053,153.083172
Brisbane Aquatic Centre,Health and Fitness,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Brisbane Arts Theatre - Performances,Theatre and Arts,http://www.artstheatre.com.au,210 Petrie Tce,BRISBANE,4000,(07) 3369 2344,-27.465812,153.01216
Brisbane Bus Lines,Transport,http://www.brisbanebuslines.com.au,Check website for details,BRISBANE,4051,(07) 3355 0034,-27.421026,152.986329
Brisbane Cruises,Tourist Attraction,http://www.brisbanecruises.com.au,Kingsford Smith Dr,HAMILTON,4007,(07) 3630 2666,-27.44095,153.047608
Brisbane Festival,Festivals and Shows,http://www.brisbanefestival.com.au,Check website for details,VARIOUS VENUES AND EVENTS,4000,(07) 3833 5419,-27.46598,153.02394
Brisbane Jazz Club,Theatre and Arts,http://www.brisbanejazzclub.com.au,1 Annie Street,KANGAROO POINT,4169,(07) 3391 2006,-27.466502,153.034409
Brisbane Lions,Sport and Recreation,http://www.lions.com.au,Gate 2 Stanley St,WOOLLOONGABBA,4102,1300 446 925,-27.48574,153.029451
Brisbane Mother's Day Classic,Sport and Recreation,http://www.mothersdayclassic.com.au,Southbank - see website for details,BRISBANE,4000,(07) 3139 0397,-27.46598,153.02394
Brisbane Philharmonic Orchestra,Theatre and Arts,http://www.bpo.org.au,Various venues throughout S.E.Qld,BRISBANE,4060,(07) 3847 1717,-27.443109,152.983982
Brisbane Powerhouse - most ticketed events,Theatre and Arts,http://www.brisbanepowerhouse.org,119 Lamington Street,NEW FARM,4005,(07) 3358 8600,-27.468381,153.053421
Brisbane Roar (Suncorp Stadium),Sport and Recreation,http://www.brisbaneroar.com.au,Castlemaine Street,MILTON,4064,(07) 3331 5000,-27.466377,153.007483
Brisbane Symphonic Band,Theatre and Arts,http://www.brisbanesymphonicband.com,Check website for details,BRISBANE,4000,0407 622 271,-27.46598,153.02394
Brolga Theatre,Theatre and Arts,http://www.brolgatheatre.org,5 Walker St,MARYBOROUGH,4650,(07) 4122 6000,-25.534302,152.706173
Brookfield Show,Festivals and Shows,http://www.brookfieldshow.com,550 Brookfield Rd,BROOKFIELD,4069,(07) 3374 0040,-27.494043,152.911817
Buderim Pool,Health and Fitness,http://www.sunshinecoast.qld.gov.au,Cnr Lindsay and King St,BUDERIM,4556,(07) 5445 6685,-26.679189,153.037368
Bundaberg Greyhound Racing Club,Sport and Recreation,http://www.racingqueensland.com.au,Maynard St,BUNDABERG,4670,(07) 4152 2033,-24.890045,152.341251
Bundaberg Race Club,Sport and Recreation,http://www.queenslandracing.com.au,Maynard St,BUNDABERG,4670,(07) 4153 1416,-24.890045,152.341251
Bundaberg Railway Historical Society Inc.,Tourist Attraction,(blank),28 Station St,NTH BUNDABERG,4670,0407 134 809,-24.858383,152.330128
Bundaberg Services Club,Entertainment,http://www.bundyservicesclub.com,17 Quay St,BUNDABERG ,4670,(07) 4132 6500,-24.864218,152.34934
Bundaberg YMCA Recreation Centre,Health and Fitness,http://www.bundaberg.ymca.org.au,7 Quinn St,BUNDABERG,4670,(07) 4132 8211,-24.876087,152.367696
Bundy Bowl & Leisure Complex - Mini Golf,Sport and Recreation,http://www.bundybowl.com.au,17 Lester St,BUNDABERG,4670,(07) 4152 4334,-24.890453,152.350043
Bundy Bowl & Leisure Complex - Tenpin Bowling,Sport and Recreation,http://www.bundybowl.com.au,17 Lester St,BUNDABERG,4670,(07) 4152 4334,-24.890453,152.350043
Burdekin Race Club,Sport and Recreation,(blank),Bruce Highway,HOME HILL,4806,(07) 4782 8212,-19.645383,147.399854
Burdekin River V-Twin & Vintage Charity Bike Show,Festivals and Shows,(blank),Showgrounds,CHARTERS TOWERS,4820,0428 511 186,-19.758693,145.445962
Burdekin Theatre,Theatre and Arts,http://www.burdekintheatre.com.au,161 Queen Street,AYR,4807,(07) 4783 9882,-19.576599,147.404244
Burnett River Cruises,Transport,http://www.burnettrivercruises.com.au/,3 Quay St,BUNDABERG,4670,(07) 4152 9188,-24.862946,152.352854
Caboolture Bus Lines,Transport,http://www.caboolturebuslines.com.au,38 Aerodrome Rd,CABOOLTURE,4510,(07) 5495 4744,-27.082402,152.98003
Caboolture Historical Village,Tourist Attraction,http://www.historicalvillage.com.au,280 Beerburrum Rd,CABOOLTURE,4510,(07) 5495 4581,-27.05965,152.947238
Caboolture Swimming Pool,Health and Fitness,http://www.moretonbay.qld.gov.au,King Street,CABOOLTURE,4510,(07) 5498 9084,-27.071664,152.922222
Cairns Art Gallery,Theatre and Arts,http://www.cairnsartgallery.com.au,Cnr Shields/Abbott Sts,CAIRNS,4870,(07) 4046 4800,-16.921272,145.776811
Cairns Auto Spectacular,Festivals and Shows,http://www.cairnsshow.com.au,Cnr Severin St/Mulgrave Rd,CAIRNS,4870,(07) 4042 6699,-16.925143,145.764558
Cairns Civic Theatre,Theatre and Arts,http://www.cct.com.au,Cnr Florence & Sheridan Sts,CAIRNS,4870,(07) 4050 7777,-16.920377,145.770903
Cairns Historical Museum,Tourist Attraction,http://www.cairnsmuseum.org.au,"School of the Arts, Cnr Shields Lake Sts",CAIRNS,4870,(07) 4051 5582,-16.923732,145.772732
Cairns Regional Council,Council,http://www.cairns.qld.gov.au,119-145 Spence St,CAIRNS,4870,(07) 4032 6600,-16.930823,145.770653
Cairns Road Runners,Sport and Recreation,http://www.roadrunners.org.au,info@roadrunners.org.au,CAIRNS,4870,0450 324 637,-16.913723,145.77089
Cairns Show,Festivals and Shows,http://www.cairnsshow.com.au,Cnr Severin St/Mulgrave Rd,CAIRNS,4870,(07) 4042 6699,-16.925143,145.764558
Cairns Taipans Home Games (Convention Centre),Sport and Recreation,http://www.taipans.com,Cnr Wharf & Sheridan Sts,CAIRNS,4870,(07) 4041 3000,-16.928959,145.777853
Cairns Tropical Zoo,Tourist Attraction,http://www.cairnstropicalzoo.com ,Captain Cook Hwy,PALM COVE,4879,(07) 4055 3669,-16.754577,145.658508
Cairns Wildlife Dome,Tourist Attraction,http://www.cairnsdome.com.au,35-41 Wharf Street,CAIRNS,4870,(07) 4031 7250,-16.927778,145.778101
Cairns Wine Awards,Festivals and Shows,http://www.cairnsshow.com.au,Cnr Severin St/Mulgrave Rd,CAIRNS,4870,(07) 4042 6699,-16.925143,145.764558
Caloundra Aquatic Centre,Health and Fitness,http://www.caloundra-aquatic.com.au,Central Park Rd,CALOUNDRA,4551,(07) 5491 8799,-26.799669,153.127989
Caloundra Chorale Hall,Theatre and Arts,http://www.caloundrachorale.com.au,30 Naroon Cres,WURTULLA,4575,(07) 5493 2326,-26.758572,153.12455
Caloundra Music Festival,Festivals and Shows,http://www.caloundramusicfestival.com,"Kings Beach Parklands, Burgess Street",CALOUNDRA,4560,(07) 5475 7272,-26.802588,153.142691
Camp Draft,Festivals and Shows,(blank),Rangemore Rd,COOYAR,4402,(07) 4692 6164,-26.965594,151.814446
Canungra Swimming Pool,Health and Fitness,http://www.scenicrim.qld.gov.au,Moriarty Park,CANUNGRA,4275,(07) 5463 3081,-28.07027,153.145101
Capella Cultural Centre,Entertainment,http://www.capellaentertainment.com.au/,Peak Downs St,CAPELLA,4723,(07) 4984 9300,-23.081429,148.021803
Capricorn Sunbus,Transport,http://www.sunbus.com.au,82 McLaughlin St,NORTH ROCKHAMPTON,4701,(07) 4936 2133,-23.326984,150.507828
Cassowary Coast Regional Council,Council,http://www.cassowarycoast.qld.gov.au,70 Rankin Street,INNISFAIL,4860,(07) 4030 2250,-17.523019,146.030153
CBJ the Health Club,Health and Fitness,http://www.cbj.com.au,568 Kessels Rd,MACGREGOR,4109,(07) 3343 5711,-27.560929,153.071069
Centre of Contemporary Arts Cairns,Theatre and Arts,http://www.artscairns.com.au,96 Abbott St,CAIRNS,4870,(07) 4050 9401,-16.918153,145.774665
Champion's Ride Days,Sport and Recreation,http://championsridedays.com.au/,See Website for Events,STATEWIDE,4000,(07) 3287 4144,-27.46598,153.02394
Chandler Arena,Sport and Recreation,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Chandler Theatre,Theatre and Arts,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Chandler Velodrome,Sport and Recreation,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Charleville Agricultural Show,Festivals and Shows,http://www.charlevilleshow.com,Partridge Street,CHARLEVILLE,4470,(07) 4654 2290,-26.396287,146.261562
Charters Towers Amateur Race Club,Sport and Recreation,(blank),Racecourse,CHARTERS TOWERS,4820,(07) 4787 1794,-19.758693,145.445962
Charters Towers Motor Show & Swapmeet,Festivals and Shows,http://www.ctrc.com.au,SHOWGROUNDS,CHARTERS TOWERS,4820,0488 660 757,-19.758693,145.445962
Charters Towers Show,Festivals and Shows,(blank),Showgrounds,CHARTERS TOWERS,4820,(07) 4787 7292,-19.758693,145.445962
Chermside Aquatic Centre,Health and Fitness,http://www.cityaquaticsandhealth.com.au,375 Hamilton Rd,CHERMSIDE,4032,1300 733 053,-27.386024,153.035213
Chermside Hyperbowl Tenpin Bowling,Sport and Recreation,http://www.hyperbowl.com.au,Cnr Gympie/Hamilton Rds,CHERMSIDE,4032,(07) 3350 3299,-27.385906,153.030999
Childers Show,Festivals and Shows,(blank),Ridgeway Street,CHILDERS,4671,0404 468 226,-25.233059,152.273573
Chillagoe-Mungana Caves National Park,Tourist Attraction,http://www.npsr.qld.gov.au,5B Sheridan St,CAIRNS,4870,(07) 4046 6600,-16.927379,145.775929
Chinchilla Agricultural & Pastoral Assoc Inc,Festivals and Shows,(blank),2 Zeller Street,CHINCHILLA,4413,(07) 4662 7194,-26.751759,150.619787
Chinchilla Aquatic & Fitness Centre - Pool entry,Health and Fitness,http://www.swimwiseaquatics.com.au,97 Middle St,CHINCHILLA,4413,(07) 4662 7516,-26.744168,150.630071
Chinchilla Cultural Centre,Entertainment,http://www.wdrc.qld.gov.au,86 Heeney Street,CHINCHILLA,4413,(07) 4679 4000,-26.740637,150.624859
Chinchilla Ironbark Theatre,Cinema,http://www.wdrc.qld.gov.au,86 Heeney St,CHINCILLA,4413,(07) 4662 7633,-26.740637,150.624859
Christensen Bus and Coach,Transport,(blank),Saleyard Rd,KILCOY,4515,(07) 5497 1478,-26.944098,152.572004
Cineplex South Bank - Conditions apply see website,Cinema,http://www.cineplex.com.au,167 Grey St,SOUTH BANK,4101,(07) 3846 5188,-27.478813,153.021337
Cineplex Victoria Point - Conditions apply see web,Cinema,http://www.cineplex.com.au,27 Bunker Road,VICTORIA POINT,4165,(07) 3829 7900,-27.586362,153.278848
Circus Oz (Statewide),Festivals and Shows,http://www.circusoz.com,Check website for details,VARIOUS VENUES AND EVENTS,4000,(03) 9646 8899,-27.46598,153.02394
Circus Royale (Statewide),Festivals and Shows,http://www.circusroyale.com.au,Various venues,QUEENSLAND,4000,0410 669 253,-27.46598,153.02394
City Fitness Health Club,Health and Fitness,http://www.cityfitness.com.au,1b Victoria Street,MACKAY,4740,(07) 4957 8269,-21.138508,149.175373
Clem Jones Sport Centre,Health and Fitness,http://www.clemjonescentre.com.au,56 Zahel Street,CARINA,4152,(07) 3398 2107,-27.49255,153.095927
Clermont Annual Show,Festivals and Shows,http://www.clermontshow.com.au ,Clermont Showgrounds,CLERMONT,4721,(07) 4983 3023,-22.83242,147.651405
Clermont Sports Centre,Health and Fitness,http://www.clermontsportscentre.com,7 Jupiter Street,CLERMONT,4721,(07) 4983 1422,-22.823987,147.646383
Cleveland Aquatic Centre,Health and Fitness,http://www.clevelandac.com.au,222 Russell Street,CLEVELAND,4163,(07) 3286 2723,-27.528716,153.253856
Cloncurry & District Show,Festivals and Shows,http://www.cloncurryshow.com.au,Daintree St,CLONCURRY,4824,(07) 4742 0078,-20.703679,140.498101
Club Coops,Health and Fitness,http://www.clubcoops.com.au,751 Beams Road,CARSELDINE,4034,(07) 3263 5233,-27.344844,153.00919
Cobb+Co Museum,Tourist Attraction,http://www.cobbandco.qm.qld.gov.au,27 Lindsay St,TOOWOOMBA,4350,(07) 4659 4900,-27.555692,151.964603
Conservatorium of Music,Theatre and Arts,http://www.cassowarycoast.qld.gov.au,River Avenue,INNISFAIL,4860,(07) 4030 2250,-17.545522,146.026594
Cooee Bay Swimming Pool,Health and Fitness,http://www.rockhamptonregion.qld.gov.au,Matthew Flinders Dr,YEPPOON,4703,(07) 4939 5029,-23.140104,150.755018
